Epoch: [0][750/1042]	 Time 0.355 (1.746)	 Data 0.000 (1.398)	 Loss 0.376 (1.728)	 EPE 2.183 (11.560)
Epoch: [0][760/1042]	 Time 0.351 (1.746)	 Data 0.000 (1.398)	 Loss 0.405 (1.713)	 EPE 2.620 (11.456)
Epoch: [0][770/1042]	 Time 4.528 (1.755)	 Data 4.193 (1.407)	 Loss 0.413 (1.698)	 EPE 2.502 (11.350)
Epoch: [0][780/1042]	 Time 0.350 (1.746)	 Data 0.000 (1.398)	 Loss 0.562 (1.682)	 EPE 3.657 (11.245)
Epoch: [0][790/1042]	 Time 0.356 (1.743)	 Data 0.000 (1.395)	 Loss 0.400 (1.667)	 EPE 2.711 (11.142)
Epoch: [0][800/1042]	 Time 0.353 (1.741)	 Data 0.000 (1.393)	 Loss 0.497 (1.653)	 EPE 3.211 (11.043)
Epoch: [0][810/1042]	 Time 6.585 (1.748)	 Data 6.251 (1.400)	 Loss 0.480 (1.639)	 EPE 2.863 (10.948)
Epoch: [0][820/1042]	 Time 0.357 (1.738)	 Data 0.000 (1.390)	 Loss 0.547 (1.626)	 EPE 3.612 (10.858)
Epoch: [0][830/1042]	 Time 0.347 (1.731)	 Data 0.000 (1.383)	 Loss 0.438 (1.613)	 EPE 2.777 (10.768)
Epoch: [0][840/1042]	 Time 0.362 (1.722)	 Data 0.000 (1.374)	 Loss 0.381 (1.599)	 EPE 2.357 (10.673)
Epoch: [0][850/1042]	 Time 11.839 (1.731)	 Data 11.505 (1.383)	 Loss 0.632 (1.586)	 EPE 3.933 (10.585)
Epoch: [0][860/1042]	 Time 0.353 (1.730)	 Data 0.000 (1.382)	 Loss 0.409 (1.573)	 EPE 2.570 (10.498)
Epoch: [0][870/1042]	 Time 0.350 (1.723)	 Data 0.000 (1.375)	 Loss 0.412 (1.561)	 EPE 2.797 (10.414)
Epoch: [0][880/1042]	 Time 0.349 (1.720)	 Data 0.000 (1.372)	 Loss 0.678 (1.549)	 EPE 4.544 (10.331)
Epoch: [0][890/1042]	 Time 10.896 (1.728)	 Data 10.564 (1.380)	 Loss 0.470 (1.537)	 EPE 3.021 (10.249)
Epoch: [0][900/1042]	 Time 0.348 (1.722)	 Data 0.000 (1.374)	 Loss 0.396 (1.525)	 EPE 2.493 (10.168)
Epoch: [0][910/1042]	 Time 0.357 (1.723)	 Data 0.000 (1.375)	 Loss 0.535 (1.513)	 EPE 3.614 (10.088)
Epoch: [0][920/1042]	 Time 0.353 (1.721)	 Data 0.000 (1.373)	 Loss 0.375 (1.502)	 EPE 2.340 (10.008)
Epoch: [0][930/1042]	 Time 4.632 (1.722)	 Data 4.297 (1.374)	 Loss 0.481 (1.491)	 EPE 3.215 (9.935)
Epoch: [0][940/1042]	 Time 0.347 (1.718)	 Data 0.000 (1.370)	 Loss 0.539 (1.480)	 EPE 3.501 (9.863)
Epoch: [0][950/1042]	 Time 0.351 (1.730)	 Data 0.000 (1.382)	 Loss 0.449 (1.470)	 EPE 2.854 (9.793)
Epoch: [0][960/1042]	 Time 0.348 (1.732)	 Data 0.000 (1.384)	 Loss 0.449 (1.459)	 EPE 2.730 (9.720)
Epoch: [0][970/1042]	 Time 0.355 (1.726)	 Data 0.000 (1.378)	 Loss 0.417 (1.449)	 EPE 2.647 (9.649)
Epoch: [0][980/1042]	 Time 0.351 (1.727)	 Data 0.000 (1.379)	 Loss 0.390 (1.438)	 EPE 2.382 (9.578)
Epoch: [0][990/1042]	 Time 0.364 (1.738)	 Data 0.000 (1.390)	 Loss 0.341 (1.428)	 EPE 2.093 (9.508)
Epoch: [0][1000/1042]	 Time 0.351 (1.736)	 Data 0.000 (1.388)	 Loss 0.375 (1.419)	 EPE 2.347 (9.442)
